TransactionId,UserId,VisitYear,VisitMonth,VisitMode,AttractionId,Rating,VisitModeName,ContinentId,RegionId,CountryId,CityId,UserCityName,UserCountry,UserRegion,UserContinent,AttractionCityId,AttractionTypeId,Attraction,AttractionAddress,AttractionCityName,AttractionCountryId,AttractionCountry,AttractionType,user_total_visits,user_avg_rating,attraction_total_visits,attraction_avg_rating
51781,85790,2013,2,1,824,5,Business,3,14,101,3170.0,North Kuta,Indonesia,South East Asia,Asia,1,76,Uluwatu Temple,"Jl. Raya Uluwatu Southern part of Bali, Pecatu 80361 Indonesia",Douala,1,Cameroon,Religious Sites,1,5.0,3359,4.219410538850848
100441,32767,2017,9,3,749,5,Family,4,15,109,3915.0,Brisbane,Australia,Australia,Australia & Oceania,1,93,Tegenungan Waterfall,"Jl. Raya Tegenungan, Kemenuh, Ubud 80581 Indonesia",Douala,1,Cameroon,Waterfalls,2,3.5,2190,3.895433789954338
147320,28407,2015,8,2,369,5,Couples,4,15,109,4940.0,Perth,Australia,Australia,Australia & Oceania,1,13,Kuta Beach - Bali,Kuta,Douala,1,Cameroon,Beaches,1,5.0,2765,3.415189873417721
32663,73467,2017,11,4,673,2,Friends,1,4,22,114.0,Durban,South Africa,Southern Africa,Africa,1,13,Seminyak Beach,Seminyak,Douala,1,Cameroon,Beaches,2,2.0,2914,3.800617707618394
32476,25356,2018,3,3,673,4,Family,4,15,109,1434.0,Melbourne,Australia,Australia,Australia & Oceania,1,13,Seminyak Beach,Seminyak,Douala,1,Cameroon,Beaches,1,4.0,2914,3.800617707618394
72779,54986,2016,4,4,748,5,Friends,2,8,51,1804.0,San Diego,United States,Northern America,America,1,72,Tegalalang Rice Terrace,"Jalan Raya Ceking, Tegalalang 80517 Indonesia",Douala,1,Cameroon,Points of Interest & Landmarks,2,4.5,5815,4.157523645743766
202290,40484,2015,4,4,1171,5,Friends,2,8,51,1133.0,Greenwich,United States,Northern America,America,3,91,Merapi Volcano,Yogyakarta,N'Djamena,2,Chad,Volcanos,2,5.0,2235,4.079194630872483
25314,70696,2017,6,3,841,4,Family,3,13,93,2706.0,Chandigarh,India,South Asia,Asia,1,92,Waterbom Bali,"Jl. Kartika Plaza, Kuta 80361 Indonesia",Douala,1,Cameroon,Water Parks,1,4.0,6429,4.646601337688598
37817,86461,2016,3,3,481,4,Family,4,15,109,4940.0,Perth,Australia,Australia,Australia & Oceania,1,13,Nusa Dua Beach,"Semenanjung Nusa Dua, Nusa Dua 80517 Indonesia",Douala,1,Cameroon,Beaches,1,4.0,2104,4.275665399239544
17648,51784,2019,12,2,640,5,Couples,2,8,51,1443.0,Meridian,United States,Northern America,America,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Douala,1,Cameroon,Nature & Wildlife Areas,3,5.0,13198,4.267085922109411
929,40884,2019,10,4,640,4,Friends,5,21,163,8712.0,Oxfordshire,United Kingdom,Western Europe,Europe,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Douala,1,Cameroon,Nature & Wildlife Areas,2,4.0,13198,4.267085922109411
73829,18216,2015,6,2,748,3,Couples,5,19,145,6713.0,Ume̴,Sweden,Northern Europe,Europe,1,72,Tegalalang Rice Terrace,"Jalan Raya Ceking, Tegalalang 80517 Indonesia",Douala,1,Cameroon,Points of Interest & Landmarks,2,4.0,5815,4.157523645743766
50200,78774,2016,1,2,824,5,Couples,1,2,4,6.0,Addis Ababa,Ethiopia,East Africa,Africa,1,76,Uluwatu Temple,"Jl. Raya Uluwatu Southern part of Bali, Pecatu 80361 Indonesia",Douala,1,Cameroon,Religious Sites,2,4.0,3359,4.219410538850848
16645,26862,2013,8,2,640,5,Couples,5,21,163,473.0,Peterborough,United Kingdom,Western Europe,Europe,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Douala,1,Cameroon,Nature & Wildlife Areas,1,5.0,13198,4.267085922109411
71647,85096,2016,8,2,748,5,Couples,5,17,125,5824.0,Berlin,Germany,Central Europe,Europe,1,72,Tegalalang Rice Terrace,"Jalan Raya Ceking, Tegalalang 80517 Indonesia",Douala,1,Cameroon,Points of Interest & Landmarks,2,4.5,5815,4.157523645743766
